speaker,textgrid,sound,phonetier,word_id,token_id,leftword,word,rightword,phone,phonestart,phoneend,left2,left1,left,right,right1,right2,total_formants,max_formant,mdist,sos,energy,rsq1,rsq2,rsq3,rsq4,rsq5,F1_0,F1_25,F1_50,F1_75,F1_100,F2_0,F2_25,F2_50,F2_75,F2_100,F3_0,F3_25,F3_50,F3_75,F3_100
4yo,4yo,4yo,2,4yo_2_since_10.927,4yo_2_since_IH1_10.987,,since,it,IH1,10.987,11.347,,#,S,N,S,#,4.5,5500,9.643,2743086188,1,-62.032,-2.074,-52,0,0,762,530,573,818,610,2916,2258,3160,2780,2880,3087,3848,3725,3269,3386
4yo,4yo,4yo,2,4yo_2_it_11.537,4yo_2_it_IH0_11.537,since,it,,IH0,11.537,11.567,N,S,#,T,#,,5,5500,5.245,418356151,1.087,-493.53,-91.588,-712.583,0,0,723,759,724,660,721,2136,2132,2140,1739,1829,3033,3099,3229,3021,3041
4yo,4yo,4yo,2,4yo_2_was_11.767,4yo_2_was_AH0_11.797,,was,too,AH0,11.797,11.817,,#,W,Z,#,T,5,5500,9.859,488622655,1.344,-51.227,-16.302,-193.152,0,0,1209,1285,1163,1028,1020,2421,2464,1756,1475,2400,3425,3329,3032,3011,3496
4yo,4yo,4yo,2,4yo_2_too_11.847,4yo_2_too_UW1_11.947,was,too,cold,UW1,11.947,12.077,Z,#,T,#,K,OW1,5.5,5500,7.22,632119984,1.345,-17.771,-88.22,-120.143,0,0,368,525,545,489,302,2534,2101,1665,1560,1249,2679,2433,2650,3355,2215
4yo,4yo,4yo,2,4yo_2_cold_12.077,4yo_2_cold_OW1_12.367,too,cold,,OW1,12.367,12.457,UW1,#,K,L,D,#,5,5500,5.21,459853429,1.413,-734.634,-55.554,-247.532,0,0,570,654,658,637,623,1553,1432,1273,1111,1000,3001,3332,2983,2863,2804
4yo,4yo,4yo,2,4yo_2_on_13.147,4yo_2_on_AA1_13.147,,on,saturday,AA1,13.147,13.247,D,,#,N,#,S,5,5500,6.069,542596739,1,-107.315,-48.06,-70.276,0,0,1116,511,701,689,714,2544,1488,1554,1747,2037,3693,2733,3075,2595,2585
4yo,4yo,4yo,2,4yo_2_saturday_13.387,4yo_2_saturday_AE1_13.537,on,saturday,,AE1,13.537,13.707,N,#,S,T,IH2,D,4.5,5500,8.942,899178307,1,-34.617,-13.575,-242.45,0,0,683,1029,1135,1031,782,2896,2913,2235,1857,1457,3649,3491,2407,2352,2373
4yo,4yo,4yo,2,4yo_2_saturday_13.387,4yo_2_saturday_IH2_13.737,on,saturday,,IH2,13.737,13.767,S,AE1,T,D,EY2,#,4.5,5500,6.307,397035266,1,-18.546,-40.36,-454.272,0,0,615,571,553,484,458,1465,1448,1544,2476,2571,3069,3198,3053,3361,3252
4yo,4yo,4yo,2,4yo_2_saturday_13.387,4yo_2_saturday_EY2_13.877,on,saturday,,EY2,13.877,14.067,T,IH2,D,#,,T,4.5,5500,9.2,1478121830,1,-108.443,-7.339,-425.357,0,0,596,800,708,622,427,2311,1386,2625,2613,897,3596,3430,3665,3875,3399
4yo,4yo,4yo,2,4yo_2_to_16.310,4yo_2_to_AH0_16.390,,to,soak,AH0,16.39,16.48,,#,T,#,S,OW1,4.5,5500,6.622,657307630,1,-187.732,-127.036,-142.726,0,0,597,592,595,538,482,2786,1936,1642,1403,2978,3382,3254,3075,2950,4571
4yo,4yo,4yo,2,4yo_2_soak_16.480,4yo_2_soak_OW1_16.630,to,soak,in,OW1,16.63,16.76,AH0,#,S,K,#,IH0,5,5500,4.803,741536807,4.704,-59.126,-231.555,-38.402,0,0,860,845,771,670,477,2160,1889,1719,1963,2455,2675,3363,3222,2950,3671
4yo,4yo,4yo,2,4yo_2_in_16.810,4yo_2_in_IH0_16.810,soak,in,his,IH0,16.81,16.84,OW1,K,#,N,#,HH,5.5,5500,5.67,357351373,2.155,-14.286,-9.894,-193.986,0,0,934,484,345,358,368,2203,1360,946,963,969,3245,2689,2852,2726,2766
4yo,4yo,4yo,2,4yo_2_his_16.870,4yo_2_his_IH1_16.880,in,his,pool,IH1,16.88,17.06,N,#,HH,Z,#,P,4.5,5500,9.004,1925610025,1,-60.493,-320.018,-120.924,0,0,673,657,607,540,431,3265,3649,3488,2868,2228,3887,4378,4702,3398,3112
